n   time 
       60516  0.144097000000000     
       61009  0.145513000000000     
       61504  0.148439000000000     
       62001  0.165437000000000     
       62500  0.165923000000000     
       63001  0.161613000000000     
       63504  0.153733000000000     
       64009  0.166021000000000     
       64516  0.172484000000000     
       65025  0.159636000000000     
       65536  0.233418000000000     
       66049  0.159982000000000     
       66564  0.169446000000000     
       67081  0.177403000000000     
       67600  0.194057000000000     
       68121  0.180973000000000     
       68644  0.201802000000000     
       69169  0.196503000000000     
       69696  0.188503000000000     
       70225  0.221227000000000     
       70756  0.206386000000000     
       71289  0.195653000000000     
       71824  0.194549000000000     
       72361  0.197745000000000     
       72900  0.204184000000000     
       73441  0.207986000000000     
       73984  0.218885000000000     
       74529  0.218331000000000     
       75076  0.203167000000000     
       75625  0.209177000000000     
       76176  0.213950000000000     
       76729  0.210307000000000     
       77284  0.214920000000000     
       77841  0.234522000000000     
       78400  0.233936000000000     
       78961  0.228586000000000     
       79524  0.245342000000000     
       80089  0.233579000000000     
       80656  0.234541000000000     
       81225  0.236606000000000     
       81796  0.236114000000000     
       82369  0.253065000000000     
       82944  0.265325000000000     
       83521  0.241870000000000     
       84100  0.243933000000000     
       84681  0.251807000000000     
       85264  0.255574000000000     
       85849  0.256441000000000     
       86436  0.261202000000000     
       87025  0.251364000000000     
       87616  0.255157000000000     
       88209  0.262241000000000     
       88804  0.265055000000000     
       89401  0.271286000000000     
       90000  0.268624000000000     
       90601  0.277050000000000     
       91204  0.275426000000000     
       91809  0.281575000000000     
       92416  0.309940000000000     
       93025  0.287300000000000     
       93636  0.286766000000000     
       94249  0.297177000000000     
       94864  0.285673000000000     
       95481  0.294117000000000     
       96100  0.297822000000000     
       96721  0.308995000000000     
       97344  0.322444000000000     
       97969  0.308830000000000     
       98596  0.310302000000000     
       99225  0.330395000000000     
       99856  0.332865000000000     
      100489  0.334374000000000     
      101124  0.317088000000000     
      101761  0.331067000000000     
      102400  0.381345000000000     
      103041  0.335911000000000     
      103684  0.336790000000000     
      104329  0.333874000000000     
      104976  0.341155000000000     
      105625  0.342442000000000     
      106276  0.354579000000000     
      106929  0.345891000000000     
      107584  0.353001000000000     
      108241  0.362785000000000     
      108900  0.362061000000000     
      109561  0.371014000000000     
      110224  0.374440000000000     
      110889  0.383263000000000     
      111556  0.378901000000000     
