type   n   time 
builtin          2601  1.444000000000000E-003
basic_o2          2601  7.200000000000002E-005
dotproduct_o2          2601  9.699999999999997E-005
cached_o2          2601  8.600000000000003E-005
both_o2          2601  8.399999999999998E-005
builtin_o2          2601  7.200000000000002E-005
basic          2704  1.415000000000000E-003
dotproduct          2704  6.340000000000000E-004
cached          2704  1.415000000000000E-003
both          2704  8.770000000000000E-004
builtin          2704  1.501000000000000E-003
basic_o2          2704  8.100000000000002E-005
dotproduct_o2          2704  1.110000000000001E-004
cached_o2          2704  9.399999999999990E-005
both_o2          2704  9.099999999999994E-005
builtin_o2          2704  8.200000000000004E-005
basic          2809  1.506000000000000E-003
dotproduct          2809  7.300000000000001E-004
cached          2809  1.494000000000000E-003
both          2809  9.930000000000000E-004
builtin          2809  1.647000000000000E-003
basic_o2          2809  9.500000000000003E-005
dotproduct_o2          2809  1.110000000000000E-004
cached_o2          2809  1.250000000000000E-004
both_o2          2809  9.800000000000000E-005
builtin_o2          2809  9.299999999999998E-005
basic          2916  1.632000000000000E-003
dotproduct          2916  7.110000000000000E-004
cached          2916  1.663000000000000E-003
both          2916  1.020000000000000E-003
builtin          2916  1.652000000000000E-003
basic_o2          2916  1.050000000000000E-004
dotproduct_o2          2916  1.390000000000000E-004
cached_o2          2916  1.200000000000000E-004
both_o2          2916  1.060000000000001E-004
builtin_o2          2916  1.050000000000000E-004
basic          3025  1.711000000000000E-003
dotproduct          3025  7.490000000000000E-004
cached          3025  1.678000000000000E-003
both          3025  1.038000000000000E-003
builtin          3025  1.786000000000000E-003
basic_o2          3025  1.169999999999999E-004
dotproduct_o2          3025  1.280000000000001E-004
cached_o2          3025  1.349999999999999E-004
both_o2          3025  1.310000000000000E-004
builtin_o2          3025  1.179999999999999E-004
basic          3136  1.775000000000000E-003
dotproduct          3136  7.880000000000000E-004
cached          3136  1.757000000000000E-003
both          3136  1.103000000000000E-003
builtin          3136  1.847000000000000E-003
basic_o2          3136  6.900000000000005E-005
dotproduct_o2          3136  1.270000000000001E-004
cached_o2          3136  1.070000000000000E-004
both_o2          3136  1.040000000000000E-004
