n   time 
       24964  3.828300000000000E-002
       25281  3.760500000000000E-002
       25600  4.003500000000000E-002
       25921  4.049500000000000E-002
       26244  4.176800000000000E-002
       26569  4.094800000000000E-002
       26896  4.301200000000000E-002
       27225  4.199200000000000E-002
       27556  4.303200000000000E-002
       27889  4.463900000000000E-002
       28224  4.419800000000000E-002
       28561  4.501000000000000E-002
       28900  4.645000000000000E-002
       29241  4.776600000000000E-002
       29584  4.991000000000000E-002
       29929  5.107100000000000E-002
       30276  5.011700000000000E-002
       30625  5.113800000000000E-002
       30976  5.222300000000000E-002
       31329  5.145100000000000E-002
       31684  5.866600000000000E-002
       32041  5.452900000000000E-002
       32400  5.483100000000000E-002
       32761  5.642300000000000E-002
       33124  5.751800000000000E-002
       33489  6.042800000000000E-002
       33856  5.919300000000000E-002
       34225  5.960500000000000E-002
       34596  6.036100000000000E-002
       34969  6.227000000000000E-002
       35344  6.343400000000000E-002
       35721  6.482299999999999E-002
       36100  6.748100000000000E-002
       36481  6.725800000000000E-002
       36864  6.801900000000001E-002
       37249  6.730500000000000E-002
       37636  6.972300000000001E-002
       38025  7.017100000000001E-002
       38416  7.117600000000000E-002
       38809  7.052700000000001E-002
       39204  7.139300000000000E-002
       39601  7.291199999999999E-002
       40000  7.473199999999999E-002
       40401  7.442800000000001E-002
       40804  7.834400000000000E-002
       41209  7.852900000000000E-002
       41616  7.853499999999999E-002
       42025  8.165900000000000E-002
       42436  8.776900000000000E-002
       42849  8.114000000000000E-002
       43264  8.383400000000001E-002
       43681  8.663200000000000E-002
       44100  8.505599999999999E-002
       44521  9.058600000000000E-002
       44944  8.921899999999999E-002
       45369  8.888600000000001E-002
       45796  9.190400000000000E-002
       46225  9.260800000000001E-002
       46656  9.379899999999999E-002
       47089  9.685700000000000E-002
       47524  9.801200000000000E-002
       47961  9.749600000000000E-002
       48400  9.941900000000001E-002
       48841  9.981400000000000E-002
       49284  0.103083000000000     
       49729  0.104264000000000     
       50176  0.104522000000000     
       50625  0.106305000000000     
       51076  0.106301000000000     
       51529  0.108423000000000     
       51984  0.112804000000000     
       52441  0.110158000000000     
