n   time 
       24964  1.558600000000000E-002
       25281  1.680900000000000E-002
       25600  1.696700000000000E-002
       25921  1.739600000000000E-002
       26244  1.794400000000000E-002
       26569  1.776700000000000E-002
       26896  1.775100000000000E-002
       27225  1.774500000000000E-002
       27556  1.878600000000000E-002
       27889  1.909200000000000E-002
       28224  1.923400000000000E-002
       28561  1.989800000000000E-002
       28900  2.011100000000000E-002
       29241  2.159000000000000E-002
       29584  2.147800000000000E-002
       29929  2.152900000000000E-002
       30276  2.184400000000000E-002
       30625  2.238100000000000E-002
       30976  2.144400000000000E-002
       31329  2.336200000000000E-002
       31684  2.310200000000000E-002
       32041  2.383000000000000E-002
       32400  2.374900000000000E-002
       32761  2.438000000000000E-002
       33124  2.505400000000000E-002
       33489  2.512700000000000E-002
       33856  2.555300000000000E-002
       34225  2.524300000000000E-002
       34596  2.650100000000000E-002
       34969  2.697900000000000E-002
       35344  2.772400000000000E-002
       35721  2.794700000000000E-002
       36100  2.678700000000000E-002
       36481  2.917000000000000E-002
       36864  3.301000000000000E-002
       37249  2.990700000000000E-002
       37636  3.027000000000000E-002
       38025  3.128300000000000E-002
       38416  3.241400000000000E-002
       38809  3.348300000000000E-002
       39204  3.248100000000000E-002
       39601  3.355300000000000E-002
       40000  3.264700000000000E-002
       40401  3.405800000000000E-002
       40804  3.507800000000000E-002
       41209  3.553000000000000E-002
       41616  3.544400000000000E-002
       42025  3.664900000000000E-002
       42436  3.450900000000000E-002
       42849  3.724700000000000E-002
       43264  4.073000000000000E-002
       43681  3.811800000000000E-002
       44100  3.868400000000000E-002
       44521  3.965100000000000E-002
       44944  3.992800000000000E-002
       45369  4.200900000000000E-002
       45796  3.897900000000000E-002
       46225  4.157400000000000E-002
       46656  4.037499999999999E-002
       47089  4.287800000000000E-002
       47524  4.324600000000000E-002
       47961  4.365300000000000E-002
       48400  4.543500000000000E-002
       48841  4.686400000000000E-002
       49284  4.539900000000000E-002
       49729  4.616300000000000E-002
       50176  5.214199999999999E-002
       50625  4.528000000000000E-002
       51076  4.810600000000000E-002
       51529  4.949100000000000E-002
       51984  4.968800000000000E-002
