n   time 
       64009  0.111576000000000     
       64516  0.108247000000000     
       65025  0.103615000000000     
       65536  0.146277000000000     
       66049  0.107312000000000     
       66564  0.117574000000000     
       67081  0.122829000000000     
       67600  0.116190000000000     
       68121  0.137913000000000     
       68644  0.135096000000000     
       69169  0.129350000000000     
       69696  0.131571000000000     
       70225  0.127301000000000     
       70756  0.127735000000000     
       71289  0.125547000000000     
       71824  0.128814000000000     
       72361  0.129706000000000     
       72900  0.137990000000000     
       73441  0.135268000000000     
       73984  0.145062000000000     
       74529  0.141820000000000     
       75076  0.137400000000000     
       75625  0.139875000000000     
       76176  0.139638000000000     
       76729  0.139023000000000     
       77284  0.148924000000000     
       77841  0.146618000000000     
       78400  0.146703000000000     
       78961  0.153798000000000     
       79524  0.154764000000000     
       80089  0.152705000000000     
       80656  0.152712000000000     
       81225  0.160332000000000     
       81796  0.161890000000000     
       82369  0.158468000000000     
       82944  0.171087000000000     
       83521  0.162617000000000     
       84100  0.165125000000000     
       84681  0.167944000000000     
       85264  0.169937000000000     
       85849  0.171463000000000     
       86436  0.174352000000000     
       87025  0.171211000000000     
       87616  0.167246000000000     
       88209  0.176468000000000     
       88804  0.178891000000000     
       89401  0.183245000000000     
       90000  0.184402000000000     
       90601  0.181925000000000     
       91204  0.188334000000000     
       91809  0.191348000000000     
       92416  0.196343000000000     
       93025  0.193792000000000     
       93636  0.190688000000000     
       94249  0.194756000000000     
       94864  0.194015000000000     
       95481  0.198719000000000     
       96100  0.206989000000000     
       96721  0.207731000000000     
       97344  0.200695000000000     
       97969  0.211034000000000     
       98596  0.210051000000000     
       99225  0.218292000000000     
       99856  0.218219000000000     
      100489  0.226699000000000     
      101124  0.223086000000000     
      101761  0.225439000000000     
      102400  0.253547000000000     
      103041  0.231889000000000     
      103684  0.233741000000000     
      104329  0.237034000000000     
      104976  0.233002000000000     
      105625  0.234211000000000     
      106276  0.238741000000000     
      106929  0.244322000000000     
      107584  0.237557000000000     
      108241  0.250217000000000     
      108900  0.247659000000000     
      109561  0.252514000000000     
      110224  0.252775000000000     
      110889  0.257108000000000     
      111556  0.259774000000000     
      112225  0.288377000000000     
      112896  0.275112000000000     
      113569  0.271792000000000     
      114244  0.279145000000000     
      114921  0.272953000000000     
      115600  0.268524000000000     
      116281  0.278267000000000     
      116964  0.287520000000000     
      117649  0.286772000000000     
      118336  0.280982000000000     
      119025  0.288644000000000     
      119716  0.284670000000000     
      120409  0.295345000000000     
      121104  0.290145000000000     
      121801  0.292144000000000     
      122500  0.295209000000000     
      123201  0.299323000000000     
      123904  0.326835000000000     
      124609  0.302794000000000     
      125316  0.308528000000000     
      126025  0.317654000000000     
      126736  0.302490000000000     
      127449  0.316969000000000     
      128164  0.315265000000000     
      128881  0.322124000000000     
      129600  0.314473000000000     
      130321  0.327633000000000     
      131044  0.328711000000000     
      131769  0.326913000000000     
      132496  0.329402000000000     
      133225  0.337299000000000     
      133956  0.339017000000000     
      134689  0.339671000000000     
      135424  0.358323000000000     
      136161  0.348452000000000     
      136900  0.358283000000000     
      137641  0.359908000000000     
      138384  0.353892000000000     
      139129  0.354157000000000     
      139876  0.358021000000000     
      140625  0.400454000000000     
      141376  0.333299000000000     
      142129  0.347828000000000     
      142884  0.353454000000000     
      143641  0.361042000000000     
      144400  0.366730000000000     
      145161  0.361513000000000     
      145924  0.363191000000000     
      146689  0.371566000000000     
      147456  0.498619000000000     
      148225  0.376245000000000     
      148996  0.384574000000000     
      149769  0.382848000000000     
      150544  0.390734000000000     
      151321  0.394628000000000     
      152100  0.389602000000000     
      152881  0.406525000000000     
      153664  0.383120000000000     
      154449  0.395873000000000     
      155236  0.408556000000000     
      156025  0.417383000000000     
      156816  0.403660000000000     
      157609  0.432515000000000     
      158404  0.427608000000000     
      159201  0.417928000000000     
      160000  0.436672000000000     
      160801  0.427647000000000     
      161604  0.428863000000000     
      162409  0.431672000000000     
      163216  0.430449000000000     
      164025  0.434610000000000     
      164836  0.439770000000000     
      165649  0.450667000000000     
      166464  0.433709000000000     
      167281  0.455165000000000     
      168100  0.470787000000000     
      168921  0.462818000000000     
      169744  0.467214000000000     
      170569  0.465056000000000     
      171396  0.477456000000000     
      172225  0.489336000000000     
      173056  0.514592000000000     
      173889  0.492046000000000     
      174724  0.479605000000000     
      175561  0.512578000000000     
      176400  0.491829000000000     
      177241  0.509790000000000     
      178084  0.499584000000000     
      178929  0.524771000000000     
      179776  0.498651000000000     
      180625  0.517188000000000     
      181476  0.518299000000000     
      182329  0.554549000000000     
      183184  0.512061000000000     
      184041  0.545926000000000     
      184900  0.543246000000000     
      185761  0.536742000000000     
      186624  0.563869000000000     
      187489  0.551473000000000     
      188356  0.547636000000000     
      189225  0.558075000000000     
      190096  0.548442000000000     
      190969  0.570833000000000     
      191844  0.562503000000000     
      192721  0.597660000000000     
      193600  0.545978000000000     
      194481  0.577150000000000     
      195364  0.585716000000000     
      196249  0.589722000000000     
      197136  0.614932000000000     
      198025  0.595568000000000     
      198916  0.624597000000000     
      199809  0.598456000000000     
      200704  0.731318000000000     
      201601  0.596524000000000     
      202500  0.624529000000000     
      203401  0.623264000000000     
      204304  0.621415000000000     
      205209  0.664899000000000     
      206116  0.632147000000000     
      207025  0.625200000000000     
      207936  0.618306000000000     
      208849  0.649014000000000     
      209764  0.655639000000000     
      210681  0.641352000000000     
      211600  0.667517000000000     
      212521  0.676893000000000     
      213444  0.664293000000000     
      214369  0.693732000000000     
      215296  0.693642000000000     
      216225  0.683181000000000     
      217156  0.686579000000000     
      218089  0.700481000000000     
      219024  0.691401000000000     
      219961  0.716193000000000     
      220900  0.729732000000000     
      221841  0.695825000000000     
      222784  0.696979000000000     
      223729  0.725657000000000     
      224676  0.732634000000000     
      225625  0.733359000000000     
      226576  0.749627000000000     
      227529  0.748597000000000     
      228484  0.768562000000000     
      229441  0.842737000000000     
      230400  0.826662000000000     
      231361  0.764975000000000     
      232324  0.775596000000000     
      233289  0.769700000000000     
      234256  0.767430000000000     
      235225  0.781674000000000     
